iso3c,country,variablename,dimension,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
BRA,Brazil,Urbanisation,Environmental,,,,,,,,,1.08463813215672,
BRA,Brazil,Urbanisation,Societal,,,,,,,,,1.08463813215672,
BRA,Brazil,Violent crime,Security,,,,,,,3,,,
BRA,Brazil,Voice and accountability,Political,,,,,,,,,0.3885686,
BRA,Brazil,Voice and accountability,Societal,,,,,,,,,0.3885686,
BRA,Brazil,Women in parliament,Political,,,,,,,,,10.7,
BRB,Barbados,Access to justice,Societal,,,,,,,,,0.94,
BRB,Barbados,Aid dependency,Economic,,,,,,,,,0.5,
BRB,Barbados,Battle-related deaths,Security,,,,,,,,,0,
BRB,Barbados,Clientelism,Political,,,,,,,,,0.35,
BRB,Barbados,Conflict risk,Security,,,,,,,,,0,
BRB,Barbados,Control over territory,Security,,,,,,,,,99.625,
BRB,Barbados,Corruption,Political,,,,,,,,,68,
BRB,Barbados,Debt,Economic,,,,,,,,,,115.411
BRB,Barbados,Disaster risk,Environmental,,,,,,,,,3.8,
BRB,Barbados,Education,Economic,,,,,,,,,0.773,
BRB,Barbados,Environmental performance,Environmental,,,,,,,,,55.76,
BRB,Barbados,Food insecurity,Economic,,,,,,,,,2,
BRB,Barbados,Food insecurity,Environmental,,,,,,,,,2,
BRB,Barbados,Formal alliances,Security,,,,,,,2,,,
BRB,Barbados,GDP growth,Economic,,,,,,,,0.845800449284326,,
BRB,Barbados,Gender inequality,Societal,,,,,,,,,0.256,
BRB,Barbados,GINI,Societal,,,,,,,,28.8999996185303,,
BRB,Barbados,Government effectiveness,Environmental,,,,,,,,,0.4269727,
BRB,Barbados,Government effectiveness,Political,,,,,,,,,0.4269727,
BRB,Barbados,Homicide rate,Security,,,,,,,,10.5,,
BRB,Barbados,Horizontal inequality,Societal,,,,,,,,,1.698,
BRB,Barbados,Impact of terrorism,Security,,,,,,,,,0,
BRB,Barbados,Infectious diseases,Environmental,,,,,,,,81.2251776456347,,
BRB,Barbados,Judicial constraints,Political,,,,,,,,,0.946,
BRB,Barbados,Legislative constraints,Political,,,,,,,,,0.768,
BRB,Barbados,Non-state and one-sided violence,Security,,,,,,,,,0,
BRB,Barbados,Physical integrity,Political,,,,,,,,,0.879,
BRB,Barbados,Regional government independence,Political,,,,,,,,,0,
BRB,Barbados,Regulatory quality,Economic,,,,,,,,,0.5401858,
BRB,Barbados,Remoteness,Economic,,,,,,,50.2040023803711,,,
BRB,Barbados,Resource dependence,Economic,,,,,,,,0.0710832989271412,,
BRB,Barbados,Rule of law,Environmental,,,,,,,,,0.3949094,
BRB,Barbados,Rule of law,Security,,,,,,,,,0.3949094,
BRB,Barbados,Share of women in labour force,Economic,,,,,,,,,,88.9685815483754
BRB,Barbados,Socio-economic vulnerability,Economic,,,,,,,,,2.2,
BRB,Barbados,Socio-economic vulnerability,Environmental,,,,,,,,,2.2,
BRB,Barbados,Stability,Political,,,,,,,,,0.9214329,
BRB,Barbados,Strength of civil society,Environmental,,,,,,,,,0.808,
BRB,Barbados,Strength of civil society,Societal,,,,,,,,,0.808,
BRB,Barbados,Unemployment rate,Economic,,,,,,,,,9.56799983978271,
BRB,Barbados,Uprooted people,Societal,,,,,,,,,0,
BRB,Barbados,Urbanisation,Environmental,,,,,,,,,0.104220957844381,
BRB,Barbados,Urbanisation,Societal,,,,,,,,,0.104220957844381,
BRB,Barbados,Voice and accountability,Political,,,,,,,,,1.12459,
BRB,Barbados,Voice and accountability,Societal,,,,,,,,,1.12459,
BRB,Barbados,Women in parliament,Political,,,,,,,,,20,
BRN,Brunei,Aid dependency,Economic,,,,,,,,,0,
BRN,Brunei,Battle-related deaths,Security,,,,,,,,,0,
BRN,Brunei,Conflict risk,Security,,,,,,,,,0,
BRN,Brunei,Corruption,Political,,,,,,,,,63,
BRN,Brunei,Debt,Economic,,,,,,,,,2.586,
BRN,Brunei,Disaster risk,Environmental,,,,,,,,,2.6,
BRN,Brunei,Education,Economic,,,,,,,,,0.703,
BRN,Brunei,Environmental performance,Environmental,,,,,,,,,63.57,
BRN,Brunei,Food insecurity,Economic,,,,,,,,,1.9,
BRN,Brunei,Food insecurity,Environmental,,,,,,,,,1.9,
BRN,Brunei,Formal alliances,Security,,,,,,,2,,,
BRN,Brunei,GDP growth,Economic,,,,,,,,,-0.994680766133385,
BRN,Brunei,Gender inequality,Societal,,,,,,,,,0.234,
BRN,Brunei,Government effectiveness,Environmental,,,,,,,,,1.252714,
BRN,Brunei,Government effectiveness,Political,,,,,,,,,1.252714,
BRN,Brunei,Homicide rate,Security,,,,0.5,,,,,,
BRN,Brunei,Impact of terrorism,Security,,,,,,,,,0,
BRN,Brunei,Infectious diseases,Environmental,,,,,,,,32.1893195246058,,
BRN,Brunei,NEET,Economic,,,,,,,,19.97,,
BRN,Brunei,Non-state and one-sided violence,Security,,,,,,,,,0,
BRN,Brunei,Regulatory quality,Economic,,,,,,,,,0.685179,
BRN,Brunei,Remoteness,Economic,,,,,,,55.5055046081543,,,
BRN,Brunei,Resource dependence,Economic,,,,,,,,17.906408861897,,
BRN,Brunei,Rule of law,Environmental,,,,,,,,,0.6292501,
BRN,Brunei,Rule of law,Security,,,,,,,,,0.6292501,
BRN,Brunei,Share of women in labour force,Economic,,,,,,,,,,81.4428333617591
BRN,Brunei,Socio-economic vulnerability,Economic,,,,,,,,,1.2,
BRN,Brunei,Socio-economic vulnerability,Environmental,,,,,,,,,1.2,
BRN,Brunei,Stability,Political,,,,,,,,,1.201149,
BRN,Brunei,Unemployment rate,Economic,,,,,,,,,9.22399997711182,
BRN,Brunei,Uprooted people,Societal,,,,,,,,,0,
BRN,Brunei,Urbanisation,Environmental,,,,,,,,,1.46107673789112,
BRN,Brunei,Urbanisation,Societal,,,,,,,,,1.46107673789112,
BRN,Brunei,Violent crime,Security,,,,,,,0.333333333333333,,,
BRN,Brunei,Voice and accountability,Political,,,,,,,,,-0.8432592,
BRN,Brunei,Voice and accountability,Societal,,,,,,,,,-0.8432592,
BRN,Brunei,Women in parliament,Political,,,,,,,,,9.1,
BTN,Bhutan,Access to justice,Societal,,,,,,,,,0.875,
BTN,Bhutan,Aid dependency,Economic,,,,,,,,,2,
BTN,Bhutan,Armed security officers,Security,,,,,,,,,,1.211
BTN,Bhutan,Battle-related deaths,Security,,,,,,,,,0,
BTN,Bhutan,Clientelism,Political,,,,,,,,,0.235,
BTN,Bhutan,Conflict risk,Security,,,,,,,,,0.1,
BTN,Bhutan,Control over territory,Security,,,,,,,,,88.167,
BTN,Bhutan,Corruption,Political,,,,,,,,,68,
BTN,Bhutan,Debt,Economic,,,,,,,,,102.384,
BTN,Bhutan,Disaster risk,Environmental,,,,,,,,,3.6,
BTN,Bhutan,Education,Economic,,,,,,,,,0.441,
BTN,Bhutan,Environmental performance,Environmental,,,,,,,,,47.22,
BTN,Bhutan,Food insecurity,Economic,,,,,,,,,4.3,
BTN,Bhutan,Food insecurity,Environmental,,,,,,,,,4.3,
BTN,Bhutan,GDP growth,Economic,,,,,,,,,1.09390317495041,
BTN,Bhutan,Gender discrimination,Security,,,,,,,,22.9,,
BTN,Bhutan,Gender inequality,Societal,,,,,,,,,0.436,
BTN,Bhutan,GINI,Societal,,,,,,,,35.5,,
BTN,Bhutan,Government effectiveness,Environmental,,,,,,,,,0.3588973,
BTN,Bhutan,Government effectiveness,Political,,,,,,,,,0.3588973,
BTN,Bhutan,Homicide rate,Security,,,,,,,,1.6,,
BTN,Bhutan,Horizontal inequality,Societal,,,,,,,,,1.306,
BTN,Bhutan,Impact of terrorism,Security,,,,,,,,,0.01,
BTN,Bhutan,Infectious diseases,Environmental,,,,,,,,79.9240129037307,,
BTN,Bhutan,Judicial constraints,Political,,,,,,,,,0.897,
BTN,Bhutan,Legislative constraints,Political,,,,,,,,,0.844,
BTN,Bhutan,Non-state and one-sided violence,Security,,,,,,,,,0,
BTN,Bhutan,Physical integrity,Political,,,,,,,,,0.886,
BTN,Bhutan,Police officers,Security,,,,,,,,,,3.778
BTN,Bhutan,Regional government independence,Political,,,,,,,,,0.843,
BTN,Bhutan,Regulatory quality,Economic,,,,,,,,,-0.3346259,
BTN,Bhutan,Remoteness,Economic,,,,,,,50.8334770202637,,,
BTN,Bhutan,Resource dependence,Economic,,,,,,,,3.94770336679301,,
BTN,Bhutan,Rule of law,Environmental,,,,,,,,,0.5520926,
BTN,Bhutan,Rule of law,Security,,,,,,,,,0.5520926,
BTN,Bhutan,Share of women in labour force,Economic,,,,,,,,,,78.2830808528449
BTN,Bhutan,Socio-economic vulnerability,Economic,,,,,,,,,5.1,
BTN,Bhutan,Socio-economic vulnerability,Environmental,,,,,,,,,5.1,
BTN,Bhutan,Stability,Political,,,,,,,,,1.104605,
BTN,Bhutan,Strength of civil society,Environmental,,,,,,,,,0.695,
BTN,Bhutan,Strength of civil society,Societal,,,,,,,,,0.695,
BTN,Bhutan,Unemployment rate,Economic,,,,,,,,,2.19700002670288,
BTN,Bhutan,Uprooted people,Societal,,,,,,,,,0,
BTN,Bhutan,Urbanisation,Environmental,,,,,,,,,2.97300923031395,
BTN,Bhutan,Urbanisation,Societal,,,,,,,,,2.97300923031395,
BTN,Bhutan,Voice and accountability,Political,,,,,,,,,0.0605407,
BTN,Bhutan,Voice and accountability,Societal,,,,,,,,,0.0605407,
BTN,Bhutan,Women in parliament,Political,,,,,,,,,8.5,
BWA,Botswana,Access to justice,Societal,,,,,,,,,0.846,
BWA,Botswana,Aid dependency,Economic,,,,,,,,,0.6,
BWA,Botswana,Armed security officers,Security,,,,,,,,,,1.586
BWA,Botswana,Battle-related deaths,Security,,,,,,,,,0,
BWA,Botswana,Clientelism,Political,,,,,,,,,0.173,
BWA,Botswana,Conflict risk,Security,,,,,,,,,1.2,
BWA,Botswana,Control over territory,Security,,,,,,,,,99.5,
BWA,Botswana,Corruption,Political,,,,,,,,,61,
BWA,Botswana,Debt,Economic,,,,,,,,,,12.311
BWA,Botswana,Disaster risk,Environmental,,,,,,,,,3,
BWA,Botswana,Education,Economic,,,,,,,,,0.664,
BWA,Botswana,Environmental performance,Environmental,,,,,,,,,51.7,
BWA,Botswana,Food insecurity,Economic,,,,,,,,,7,
BWA,Botswana,Food insecurity,Environmental,,,,,,,,,7,
BWA,Botswana,Formal alliances,Security,,,,,,,2,,,
BWA,Botswana,GDP growth,Economic,,,,,,,,,2.18304965007235,
BWA,Botswana,Gender inequality,Societal,,,,,,,,,0.464,
BWA,Botswana,GINI,Societal,,,,,,,,53.9000015258789,,
BWA,Botswana,Government effectiveness,Environmental,,,,,,,,,0.3334411,
BWA,Botswana,Government effectiveness,Political,,,,,,,,,0.3334411,
BWA,Botswana,Homicide rate,Security,15,,,,,,,,,
BWA,Botswana,Horizontal inequality,Societal,,,,,,,,,0.458,
BWA,Botswana,Impact of terrorism,Security,,,,,,,,,0,
BWA,Botswana,Infectious diseases,Environmental,,,,,,,,275.240405001285,,
BWA,Botswana,Judicial constraints,Political,,,,,,,,,0.838,
BWA,Botswana,Legislative constraints,Political,,,,,,,,,0.816,
BWA,Botswana,Non-state and one-sided violence,Security,,,,,,,,,0,
BWA,Botswana,Physical integrity,Political,,,,,,,,,0.878,
BWA,Botswana,Police officers,Security,,,,,,,,,,3.103
BWA,Botswana,Regional government independence,Political,,,,,,,,,0.512,
BWA,Botswana,Regulatory quality,Economic,,,,,,,,,0.454911,
BWA,Botswana,Remoteness,Economic,,,,,,,92.8889541625977,,,
BWA,Botswana,Resource dependence,Economic,,,,,,,,1.04164918451054,,
BWA,Botswana,Rule of law,Environmental,,,,,,,,,0.4664786,
BWA,Botswana,Rule of law,Security,,,,,,,,,0.4664786,
BWA,Botswana,Share of women in labour force,Economic,,,,,,,,,,84.3723364229858
BWA,Botswana,Socio-economic vulnerability,Economic,,,,,,,,,3.6,
BWA,Botswana,Socio-economic vulnerability,Environmental,,,,,,,,,3.6,
BWA,Botswana,Stability,Political,,,,,,,,,0.9791562,
BWA,Botswana,Strength of civil society,Environmental,,,,,,,,,0.805,
BWA,Botswana,Strength of civil society,Societal,,,,,,,,,0.805,
BWA,Botswana,Unemployment rate,Economic,,,,,,,,,17.9409999847412,
BWA,Botswana,Uprooted people,Societal,,,,,,,,,2.2,
BWA,Botswana,Urbanisation,Environmental,,,,,,,,,3.27767698014147,
BWA,Botswana,Urbanisation,Societal,,,,,,,,,3.27767698014147,
BWA,Botswana,Voice and accountability,Political,,,,,,,,,0.4747402,
BWA,Botswana,Voice and accountability,Societal,,,,,,,,,0.4747402,
BWA,Botswana,Women in parliament,Political,,,,,,,,,9.5,
CAF,Central African Republic,Access to justice,Societal,,,,,,,,,0.283,
CAF,Central African Republic,Aid dependency,Economic,,,,,,,,,7.7,
CAF,Central African Republic,Armed security officers,Security,,,,,,,,,,1.225
CAF,Central African Republic,Battle-related deaths,Security,,,,,,,,,0.707364267806525,
CAF,Central African Republic,Clientelism,Political,,,,,,,,,0.728,
CAF,Central African Republic,Conflict risk,Security,,,,,,,,,10,
CAF,Central African Republic,Control over territory,Security,,,,,,,,,59,
CAF,Central African Republic,Corruption,Political,,,,,,,,,26,
CAF,Central African Republic,Debt,Economic,,,,,,,,,49.939,
CAF,Central African Republic,Disaster risk,Environmental,,,,,,,,,3.1,
CAF,Central African Republic,Education,Economic,,,,,,,,,0.353,
CAF,Central African Republic,Environmental performance,Environmental,,,,,,,,,36.42,
CAF,Central African Republic,Food insecurity,Economic,,,,,,,,,9.6,
CAF,Central African Republic,Food insecurity,Environmental,,,,,,,,,9.6,
CAF,Central African Republic,Formal alliances,Security,,,,,,,5,,,
CAF,Central African Republic,GDP growth,Economic,,,,,,,,,2.76760000767437,
CAF,Central African Republic,Gender discrimination,Security,,,,,,,,24.5,,
CAF,Central African Republic,Gender inequality,Societal,,,,,,,,,0.682,
CAF,Central African Republic,GINI,Societal,,,,,,,,61.4000015258789,,
CAF,Central African Republic,Government effectiveness,Environmental,,,,,,,,,-1.720417,
CAF,Central African Republic,Government effectiveness,Political,,,,,,,,,-1.720417,
CAF,Central African Republic,Homicide rate,Security,,,,,,,19.8,,,
CAF,Central African Republic,Horizontal inequality,Societal,,,,,,,,,0.186,
CAF,Central African Republic,Impact of terrorism,Security,,,,,,,,,6.622,
CAF,Central African Republic,Infectious diseases,Environmental,,,,,,,,670.864956270951,,
CAF,Central African Republic,Judicial constraints,Political,,,,,,,,,0.42,
CAF,Central African Republic,Legislative constraints,Political,,,,,,,,,0.773,
CAF,Central African Republic,Non-state and one-sided violence,Security,,,,,,,,,21.8215583243867,
CAF,Central African Republic,Physical integrity,Political,,,,,,,,,0.325,
CAF,Central African Republic,Police officers,Security,,,,,,,,,,1.5
CAF,Central African Republic,Regional government independence,Political,,,,,,,,,0,
CAF,Central African Republic,Regulatory quality,Economic,,,,,,,,,-1.367495,
CAF,Central African Republic,Remoteness,Economic,,,,,,,61.7958297729492,,,
CAF,Central African Republic,Resource dependence,Economic,,,,,,,,13.576052904496,,
CAF,Central African Republic,Rule of law,Environmental,,,,,,,,,-1.687692,
CAF,Central African Republic,Rule of law,Security,,,,,,,,,-1.687692,
CAF,Central African Republic,Share of women in labour force,Economic,,,,,,,,,,81.0028430205226
CAF,Central African Republic,Socio-economic vulnerability,Economic,,,,,,,,,9,
CAF,Central African Republic,Socio-economic vulnerability,Environmental,,,,,,,,,9,
CAF,Central African Republic,Stability,Political,,,,,,,,,-2.281261,
CAF,Central African Republic,Strength of civil society,Environmental,,,,,,,,,0.706,
CAF,Central African Republic,Strength of civil society,Societal,,,,,,,,,0.706,
CAF,Central African Republic,Unemployment rate,Economic,,,,,,,,,6.48299980163574,
CAF,Central African Republic,Uprooted people,Societal,,,,,,,,,9.8,
CAF,Central African Republic,Urbanisation,Environmental,,,,,,,,,2.45173611360753,
CAF,Central African Republic,Urbanisation,Societal,,,,,,,,,2.45173611360753,
CAF,Central African Republic,Violent crime,Security,,,,,,,4,,,
CAF,Central African Republic,Voice and accountability,Political,,,,,,,,,-1.188597,
CAF,Central African Republic,Voice and accountability,Societal,,,,,,,,,-1.188597,
CAF,Central African Republic,Women in parliament,Political,,,,,,,,,8.6,
CAN,Canada,Access to justice,Societal,,,,,,,,,0.953,
CAN,Canada,Aid dependency,Economic,,,,,,,,,0,
CAN,Canada,Armed security officers,Security,,,,,,,,,,1.276
CAN,Canada,Battle-related deaths,Security,,,,,,,,,0,
CAN,Canada,Clientelism,Political,,,,,,,,,0.041,
CAN,Canada,Conflict risk,Security,,,,,,,,,0.1,
CAN,Canada,Control over territory,Security,,,,,,,,,92.25,
CAN,Canada,Corruption,Political,,,,,,,,,81,
CAN,Canada,Debt,Economic,,,,,,,,,89.94,
CAN,Canada,Disaster risk,Environmental,,,,,,,,,4.6,
CAN,Canada,Education,Economic,,,,,,,,,0.891,
CAN,Canada,Environmental performance,Environmental,,,,,,,,,72.18,
CAN,Canada,Food insecurity,Economic,,,,,,,,,0.6,
CAN,Canada,Food insecurity,Environmental,,,,,,,,,0.6,
CAN,Canada,Formal alliances,Security,,,,,,,5,,,
CAN,Canada,GDP growth,Economic,,,,,,,,,0.452912514520534,
CAN,Canada,Gender discrimination,Security,,,,,,,,4.2,,
CAN,Canada,Gender inequality,Societal,,,,,,,,,0.083,
CAN,Canada,GINI,Societal,,,,,,,,32.4000015258789,,
CAN,Canada,Government effectiveness,Environmental,,,,,,,,,1.716108,
CAN,Canada,Government effectiveness,Political,,,,,,,,,1.716108,
CAN,Canada,Homicide rate,Security,,,,,,,,1.8,,
CAN,Canada,Horizontal inequality,Societal,,,,,,,,,2.019,
CAN,Canada,Impact of terrorism,Security,,,,,,,,,3.591,
CAN,Canada,Infectious diseases,Environmental,,,,,,,,31.7354041338035,,
CAN,Canada,Judicial constraints,Political,,,,,,,,,0.904,
CAN,Canada,Legislative constraints,Political,,,,,,,,,0.843,
CAN,Canada,NEET,Economic,,,,,,,,,12.84,
CAN,Canada,Non-state and one-sided violence,Security,,,,,,,,,0,
CAN,Canada,Physical integrity,Political,,,,,,,,,0.96,
CAN,Canada,Police officers,Security,,,,,,,,,,1.957
CAN,Canada,Regional government independence,Political,,,,,,,,,0.978,
CAN,Canada,Regulatory quality,Economic,,,,,,,,,1.665293,
CAN,Canada,Remoteness,Economic,,,,,,,0,,,
CAN,Canada,Resource dependence,Economic,,,,,,,,1.72965520708979,,
CAN,Canada,Rule of law,Environmental,,,,,,,,,1.770795,
CAN,Canada,Rule of law,Security,,,,,,,,,1.770795,
CAN,Canada,Share of women in labour force,Economic,,,,,,,,,,87.3568904741175
CAN,Canada,Socio-economic vulnerability,Economic,,,,,,,,,0.5,
CAN,Canada,Socio-economic vulnerability,Environmental,,,,,,,,,0.5,
CAN,Canada,Stability,Political,,,,,,,,,0.9911886,
CAN,Canada,Strength of civil society,Environmental,,,,,,,,,0.897,
CAN,Canada,Strength of civil society,Societal,,,,,,,,,0.897,
CAN,Canada,Unemployment rate,Economic,,,,,,,,,5.92000007629395,
CAN,Canada,Uprooted people,Societal,,,,,,,,,6.2,
CAN,Canada,Urbanisation,Environmental,,,,,,,,,1.48420235658114,
CAN,Canada,Urbanisation,Societal,,,,,,,,,1.48420235658114,
CAN,Canada,Violent crime,Security,,,,,,,0,,,
CAN,Canada,Voice and accountability,Political,,,,,,,,,1.520857,
CAN,Canada,Voice and accountability,Societal,,,,,,,,,1.520857,
CAN,Canada,Women in parliament,Political,,,,,,,,,27,
CHE,Switzerland,Access to justice,Societal,,,,,,,,,0.979,
CHE,Switzerland,Aid dependency,Economic,,,,,,,,,0.1,
CHE,Switzerland,Armed security officers,Security,,,,,,,,,,1.374
CHE,Switzerland,Battle-related deaths,Security,,,,,,,,,0,
CHE,Switzerland,Clientelism,Political,,,,,,,,,0.04,
CHE,Switzerland,Conflict risk,Security,,,,,,,,,0.1,
CHE,Switzerland,Control over territory,Security,,,,,,,,,99.5,
CHE,Switzerland,Corruption,Political,,,,,,,,,85,
CHE,Switzerland,Debt,Economic,,,,,,,,42.64,,
CHE,Switzerland,Disaster risk,Environmental,,,,,,,,,2.2,
CHE,Switzerland,Education,Economic,,,,,,,,,0.896,
CHE,Switzerland,Environmental performance,Environmental,,,,,,,,,87.42,
CHE,Switzerland,Food insecurity,Economic,,,,,,,,,1.3,
CHE,Switzerland,Food insecurity,Environmental,,,,,,,,,1.3,
CHE,Switzerland,Formal alliances,Security,,,,,,,2,,,
CHE,Switzerland,GDP growth,Economic,,,,,,,,,1.76139310443017,
CHE,Switzerland,Gender discrimination,Security,,,,,,,,13.3,,
CHE,Switzerland,Gender inequality,Societal,,,,,,,,,0.037,
CHE,Switzerland,GINI,Societal,,,,,,,,29.5,,
CHE,Switzerland,Government effectiveness,Environmental,,,,,,,,,2.039621,
CHE,Switzerland,Government effectiveness,Political,,,,,,,,,2.039621,
CHE,Switzerland,Homicide rate,Security,,,,,,,,0.5,,
CHE,Switzerland,Horizontal inequality,Societal,,,,,,,,,2.32,
CHE,Switzerland,Impact of terrorism,Security,,,,,,,,,0.191,
CHE,Switzerland,Infectious diseases,Environmental,,,,,,,,26.2710247320269,,
CHE,Switzerland,Judicial constraints,Political,,,,,,,,,0.978,
CHE,Switzerland,Legislative constraints,Political,,,,,,,,,0.938,
CHE,Switzerland,NEET,Economic,,,,,,,,,6.04,
CHE,Switzerland,Non-state and one-sided violence,Security,,,,,,,,,0,
CHE,Switzerland,Physical integrity,Political,,,,,,,,,0.957,
CHE,Switzerland,Police officers,Security,,,,,,,,,,2.094
CHE,Switzerland,Regional government independence,Political,,,,,,,,,0.989,
CHE,Switzerland,Regulatory quality,Economic,,,,,,,,,1.780406,
CHE,Switzerland,Remoteness,Economic,,,,,,,0,,,
CHE,Switzerland,Resource dependence,Economic,,,,,,,,0.0109371007557158,,
CHE,Switzerland,Rule of law,Environmental,,,,,,,,,1.931222,
CHE,Switzerland,Rule of law,Security,,,,,,,,,1.931222,
CHE,Switzerland,Share of women in labour force,Economic,,,,,,,,,,84.7765699565749
CHE,Switzerland,Socio-economic vulnerability,Economic,,,,,,,,,0.3,
CHE,Switzerland,Socio-economic vulnerability,Environmental,,,,,,,,,0.3,
CHE,Switzerland,Stability,Political,,,,,,,,,1.344863,
CHE,Switzerland,Strength of civil society,Environmental,,,,,,,,,0.963,
CHE,Switzerland,Strength of civil society,Societal,,,,,,,,,0.963,
CHE,Switzerland,Unemployment rate,Economic,,,,,,,,,4.88299989700317,
CHE,Switzerland,Uprooted people,Societal,,,,,,,,,6.5,
CHE,Switzerland,Urbanisation,Environmental,,,,,,,,,0.811419635872878,
CHE,Switzerland,Urbanisation,Societal,,,,,,,,,0.811419635872878,
CHE,Switzerland,Violent crime,Security,,,,,,,0.333333333333333,,,
CHE,Switzerland,Voice and accountability,Political,,,,,,,,,1.616422,
CHE,Switzerland,Voice and accountability,Societal,,,,,,,,,1.616422,
CHE,Switzerland,Women in parliament,Political,,,,,,,,,32.5,
CHL,Chile,Access to justice,Societal,,,,,,,,,0.823,
CHL,Chile,Aid dependency,Economic,,,,,,,,,0.1,
CHL,Chile,Armed security officers,Security,,,,,,,,,,1.643
CHL,Chile,Battle-related deaths,Security,,,,,,,,,0,
CHL,Chile,Clientelism,Political,,,,,,,,,0.076,
CHL,Chile,Conflict risk,Security,,,,,,,,,2.7,
CHL,Chile,Control over territory,Security,,,,,,,,,98.2,
CHL,Chile,Corruption,Political,,,,,,,,,67,
CHL,Chile,Debt,Economic,,,,,,,,,25.56,
CHL,Chile,Disaster risk,Environmental,,,,,,,,,6.2,
CHL,Chile,Education,Economic,,,,,,,,,0.807,
CHL,Chile,Environmental performance,Environmental,,,,,,,,,57.49,
CHL,Chile,Food insecurity,Economic,,,,,,,,,1.6,
CHL,Chile,Food insecurity,Environmental,,,,,,,,,1.6,
CHL,Chile,Formal alliances,Security,,,,,,,4,,,
CHL,Chile,GDP growth,Economic,,,,,,,,,2.58767649436109,
CHL,Chile,Gender discrimination,Security,,,,,,,,18.8,,
CHL,Chile,Gender inequality,Societal,,,,,,,,,0.288,
CHL,Chile,GINI,Societal,,,,,,,,50.4249992370605,,
CHL,Chile,Government effectiveness,Environmental,,,,,,,,,1.084034,
CHL,Chile,Government effectiveness,Political,,,,,,,,,1.084034,
CHL,Chile,Homicide rate,Security,,,,,,,,4.3,,
CHL,Chile,Horizontal inequality,Societal,,,,,,,,,0.893,
CHL,Chile,Impact of terrorism,Security,,,,,,,,,4.123,
CHL,Chile,Infectious diseases,Environmental,,,,,,,,34.9494670071988,,
CHL,Chile,Judicial constraints,Political,,,,,,,,,0.841,
CHL,Chile,Legislative constraints,Political,,,,,,,,,0.95,
CHL,Chile,NEET,Economic,,,,,,,,,15.86,
CHL,Chile,Non-state and one-sided violence,Security,,,,,,,,,0,
CHL,Chile,Physical integrity,Political,,,,,,,,,0.794,
CHL,Chile,Police officers,Security,,,,,,,,,,2.417
CHL,Chile,Regional government independence,Political,,,,,,,,,0.548,
CHL,Chile,Regulatory quality,Economic,,,,,,,,,1.343512,
CHL,Chile,Remoteness,Economic,,,,,,,0,,,
CHL,Chile,Resource dependence,Economic,,,,,,,,11.4779203364565,,
CHL,Chile,Rule of law,Environmental,,,,,,,,,1.115472,
CHL,Chile,Rule of law,Security,,,,,,,,,1.115472,
CHL,Chile,Share of women in labour force,Economic,,,,,,,,,,68.9216845093781
CHL,Chile,Socio-economic vulnerability,Economic,,,,,,,,,1.8,
CHL,Chile,Socio-economic vulnerability,Environmental,,,,,,,,,1.8,
CHL,Chile,Stability,Political,,,,,,,,,0.4252459,
CHL,Chile,Strength of civil society,Environmental,,,,,,,,,0.904,
CHL,Chile,Strength of civil society,Societal,,,,,,,,,0.904,
CHL,Chile,Unemployment rate,Economic,,,,,,,,,7.22300004959106,
CHL,Chile,Uprooted people,Societal,,,,,,,,,3.4,
CHL,Chile,Urbanisation,Environmental,,,,,,,,,1.47555844683509,
CHL,Chile,Urbanisation,Societal,,,,,,,,,1.47555844683509,
CHL,Chile,Violent crime,Security,,,,,,,1,,,
CHL,Chile,Voice and accountability,Political,,,,,,,,,1.054925,
CHL,Chile,Voice and accountability,Societal,,,,,,,,,1.054925,
CHL,Chile,Women in parliament,Political,,,,,,,,,22.6,
CHN,China,Access to justice,Societal,,,,,,,,,0.441,
CHN,China,Aid dependency,Economic,,,,,,,,,0,
CHN,China,Armed security officers,Security,,,,,,,,,,1.219
CHN,China,Battle-related deaths,Security,,,,,,,,,0,
CHN,China,Clientelism,Political,,,,,,,,,0.558,
CHN,China,Conflict risk,Security,,,,,,,,,6.3,
CHN,China,Control over territory,Security,,,,,,,,,95.833,
CHN,China,Corruption,Political,,,,,,,,,39,
CHN,China,Debt,Economic,,,,,,,,,50.64,
CHN,China,Disaster risk,Environmental,,,,,,,,,7.5,
CHN,China,Education,Economic,,,,,,,,,0.649,
CHN,China,Environmental performance,Environmental,,,,,,,,,50.74,
CHN,China,Food insecurity,Economic,,,,,,,,,1.8,
CHN,China,Food insecurity,Environmental,,,,,,,,,1.8,
CHN,China,Formal alliances,Security,,,,,,,32,,,
CHN,China,GDP growth,Economic,,,,,,,,,6.11511707222505,
CHN,China,Gender inequality,Societal,,,,,,,,,0.163,
CHN,China,GINI,Societal,,,,,,,,35.3300018310547,,
CHN,China,Government effectiveness,Environmental,,,,,,,,,0.4771284,
CHN,China,Government effectiveness,Political,,,,,,,,,0.4771284,
CHN,China,Homicide rate,Security,,,,,,,,0.6,,
CHN,China,Horizontal inequality,Societal,,,,,,,,,-1.179,
CHN,China,Impact of terrorism,Security,,,,,,,,,4.465,
CHN,China,Infectious diseases,Environmental,,,,,,,,21.0197752685114,,
CHN,China,Judicial constraints,Political,,,,,,,,,0.169,
CHN,China,Legislative constraints,Political,,,,,,,,,0.078,
